exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	raw_window	edge_left_10	900074	54375	66332	947219	0.9430299575985726	0.9313621811122862	0.9371597543802109	0.4910599593495935	0.4849842479674797	1968000
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	raw_window	inner_left_10_25	1360887	79864	84604	1421845	0.9445677983218475	0.9414704069413092	0.9430165592490165	0.49046247285559175	0.48885416666666665	2947200
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	raw_window	center_25_75	4557025	287217	268299	4717859	0.9407096094703774	0.9443977233445878	0.94255005860656	0.4908573404947917	0.49278177897135417	9830400
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	raw_window	inner_right_75_90	1368705	87458	80282	1410755	0.9399394161230576	0.9445943959469616	0.9422611569110029	0.4916486834961998	0.4940835369163952	2947200
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	raw_window	edge_right_10	902014	59086	62013	944887	0.9385225262719801	0.935672963516582	0.9370955786293581	0.48985111788617886	0.48836382113821136	1968000
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	merged_coordinate	edge_left_10	912943	55931	53463	945663	0.9422721633566388	0.9446785305554808	0.9434738125749246	0.4910599593495935	0.4923140243902439	1968000
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	merged_coordinate	inner_left_10_25	1362855	84723	82636	1416986	0.941472583860766	0.9428318820386983	0.9421517426649693	0.49046247285559175	0.4911706026058632	2947200
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	merged_coordinate	center_25_75	4553126	281310	272198	4723766	0.9418112061055313	0.9435896947023661	0.9426996115845528	0.4908573404947917	0.49178426106770834	9830400
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	merged_coordinate	inner_right_75_90	1366415	84536	82572	1413677	0.9417375224938678	0.9430139814918974	0.9423753197482153	0.4916486834961998	0.49231507871878394	2947200
PIPE-TEFM-SEG-SF-20260618	generanno	4096	1024	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w4096_s1024/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w4096_seed42	4800	merged_coordinate	edge_right_10	910476	56069	53551	947904	0.9419902849841446	0.9444507259651441	0.9432189009267721	0.48985111788617886	0.4911305894308943	1968000
