exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	raw_window	edge_left_10	421137	32995	32812	497056	0.9273449129328036	0.9277187525470922	0.9275317950711444	0.4613302845528455	0.4615162601626016	984000
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	raw_window	inner_left_10_25	643025	41686	41670	747219	0.9391188399193237	0.9391407853131687	0.9391298124880423	0.46464101520086865	0.4646518729641694	1473600
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	raw_window	center_25_75	2134660	130624	144122	2505794	0.9423365900257981	0.9367548102451222	0.9395374098879726	0.463619384765625	0.46087320963541667	4915200
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	raw_window	inner_right_75_90	641911	40721	43763	747205	0.9403470684058175	0.9361752086268401	0.9382565011042852	0.4653053745928339	0.46324104234527685	1473600
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	raw_window	edge_right_10	420782	28545	33701	500972	0.9364716564996094	0.9258476114618148	0.9311293302795941	0.4618729674796748	0.4566331300813008	984000
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	merged_coordinate	edge_left_10	424655	25665	29294	504386	0.9430071948836383	0.9354685217942985	0.9392227312890301	0.4613302845528455	0.4576422764227642	984000
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	merged_coordinate	inner_left_10_25	642159	37371	42536	751534	0.945004635556929	0.9378759885788562	0.941426817423812	0.46464101520086865	0.461135993485342	1473600
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	merged_coordinate	center_25_75	2135118	126094	143664	2510324	0.9442360999322488	0.9369557948061727	0.9405818597998148	0.463619384765625	0.4600447591145833	4915200
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	merged_coordinate	inner_right_75_90	641569	37695	44105	750231	0.9445061124982334	0.9356764293235561	0.9400705380024588	0.4653053745928339	0.46095548317046686	1473600
PIPE-TEFM-SEG-SF-20260618	generanno	2048	512	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s512/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	4800	merged_coordinate	edge_right_10	426663	25354	27820	504163	0.9439091892561563	0.9387875894147856	0.9413414230557088	0.4618729674796748	0.4593668699186992	984000
